id,content,weight
0,"静心调息，真元缓缓流转，丹田微暖。",1
1,"感悟天地灵气，心境渐趋空明。",1
2,"真元运转一个大周天，修为略有精进。",1
3,"参悟功法奥义，对境界理解更深一层。",1
4,"引导灵气入体，洗练筋骨经脉。",1
5,"冥想中偶有所悟，心境更加澄澈。",1
6,"专注修炼，真元纯度再次提升。",1
7,"感受天地大道，修为稳步增长。",1
8,"静坐凝神，感受到体内真元汇聚丹田，气息流畅。",1
9,"冥思苦想，领悟了一丝天地大道的奥秘。",1
10,"专注修炼，神识渐开，心境如水般澄明。",1
11,"感受风雷之力，身体血脉畅通无阻。",1
12,"运转真元，内视经脉，体内灵气如潮水般流动。",1
13,"静心凝神，听得草木鸟兽呼吸之声，心神宁静。",1
14,"夜观星辰，思绪融入宇宙，顿悟一层功法精髓。",1
15,"参悟法诀奥义，心法渐通，真元微微涌动。",1
16,"感受天地灵气涌入丹田，浑身舒畅无比。",1
17,"体内真元缓缓流动，神识清明如镜，修炼渐入佳境。",1
18,"引导灵气入体，洗练筋骨经脉，身心舒畅。",1
19,"凝神静气，真元汇聚周天，气息运转如意。",1
20,"心神专注，参悟功法奥义，境界有微妙提升。",1
21,"观想天地运行，内力微增，修为稳步增长。",1
22,"冥想中偶有所悟，心境更加澄澈，神识渐明。",1
23,"专注呼吸与真元运转，灵气在体内流动顺畅。",1
24,"静坐运功，感觉体内真元如泉水般流淌。",1
25,"夜晚凝神参悟，心境如水，悟性微增。",1